goldEarned,No,Yes,win_percentage
30,11,4,0.26666666666666666
31,9,10,0.5263157894736842
32,8,3,0.2727272727272727
33,8,3,0.2727272727272727
34,14,3,0.17647058823529413
35,17,10,0.37037037037037035
36,11,6,0.35294117647058826
37,22,2,0.08333333333333333
38,17,7,0.2916666666666667
39,18,5,0.21739130434782608
40,19,7,0.2692307692307692
41,21,6,0.2222222222222222
42,24,8,0.25
43,20,8,0.2857142857142857
44,22,9,0.2903225806451613
45,33,14,0.2978723404255319
46,29,18,0.3829787234042553
47,28,15,0.3488372093023256
48,27,9,0.25
49,26,14,0.35
50,24,27,0.5294117647058824
51,34,27,0.4426229508196721
52,23,16,0.41025641025641024
53,21,28,0.5714285714285714
54,24,21,0.4666666666666667
55,23,26,0.5306122448979592
56,25,29,0.5370370370370371
57,26,27,0.5094339622641509
58,21,40,0.6557377049180327
59,28,37,0.5692307692307692
60,21,35,0.625
61,22,25,0.5319148936170213
62,10,29,0.7435897435897436
63,20,45,0.6923076923076923
64,20,38,0.6551724137931034
65,10,22,0.6875
66,19,33,0.6346153846153846
67,12,24,0.6666666666666666
68,11,22,0.6666666666666666
69,14,23,0.6216216216216216
70,13,21,0.6176470588235294
71,8,26,0.7647058823529411
72,5,19,0.7916666666666666
73,8,12,0.6
74,10,14,0.5833333333333334
75,8,13,0.6190476190476191
76,11,11,0.5
77,9,16,0.64
78,6,22,0.7857142857142857
79,3,7,0.7
80,8,12,0.6
81,3,12,0.8
82,6,6,0.5
83,7,7,0.5
84,5,8,0.6153846153846154
85,2,5,0.7142857142857143
86,3,3,0.5
87,3,6,0.6666666666666666
88,1,7,0.875
89,4,3,0.42857142857142855
90,2,5,0.7142857142857143
91,1,2,0.6666666666666666
92,3,2,0.4
93,3,2,0.4
94,1,3,0.75
95,2,2,0.5
96,2,2,0.5
97,2,2,0.5
98,0,2,1.0
CORRELATION,0.67636304978715
