totalHeal,No,Yes,win_percentage
0,18,19,0.5135135135135135
1,2,2,0.5
3,4,1,0.2
4,4,1,0.2
5,12,4,0.25
6,8,1,0.1111111111111111
7,11,4,0.26666666666666666
8,18,3,0.14285714285714285
9,17,7,0.2916666666666667
10,18,6,0.25
11,26,6,0.1875
12,29,16,0.35555555555555557
13,22,26,0.5416666666666666
14,30,16,0.34782608695652173
15,26,13,0.3333333333333333
16,28,13,0.3170731707317073
17,35,20,0.36363636363636365
18,25,14,0.358974358974359
19,28,11,0.28205128205128205
20,34,23,0.40350877192982454
21,33,19,0.36538461538461536
22,41,31,0.4305555555555556
23,18,26,0.5909090909090909
24,35,29,0.453125
25,31,17,0.3541666666666667
26,17,15,0.46875
27,32,29,0.47540983606557374
28,26,23,0.46938775510204084
29,19,28,0.5957446808510638
30,29,30,0.5084745762711864
31,15,21,0.5833333333333334
32,14,26,0.65
33,22,20,0.47619047619047616
34,18,19,0.5135135135135135
35,14,25,0.6410256410256411
36,14,17,0.5483870967741935
37,14,14,0.5
38,12,20,0.625
39,18,24,0.5714285714285714
40,8,19,0.7037037037037037
41,9,19,0.6785714285714286
42,12,23,0.6571428571428571
43,9,19,0.6785714285714286
44,7,9,0.5625
45,12,16,0.5714285714285714
46,12,17,0.5862068965517241
47,13,21,0.6176470588235294
48,3,9,0.75
49,9,18,0.6666666666666666
50,8,14,0.6363636363636364
51,9,11,0.55
52,4,8,0.6666666666666666
53,3,14,0.8235294117647058
54,4,6,0.6
55,4,7,0.6363636363636364
56,2,13,0.8666666666666667
57,4,10,0.7142857142857143
58,3,4,0.5714285714285714
59,5,3,0.375
60,4,9,0.6923076923076923
61,4,8,0.6666666666666666
62,3,6,0.6666666666666666
63,1,2,0.6666666666666666
64,3,5,0.625
65,2,5,0.7142857142857143
66,4,5,0.5555555555555556
67,4,2,0.3333333333333333
68,1,7,0.875
69,2,7,0.7777777777777778
70,3,2,0.4
71,2,4,0.6666666666666666
72,2,6,0.75
73,1,3,0.75
75,2,4,0.6666666666666666
76,2,1,0.3333333333333333
78,1,3,0.75
79,1,3,0.75
81,1,3,0.75
82,0,2,1.0
83,3,1,0.25
85,0,3,1.0
89,3,2,0.4
92,0,3,1.0
93,1,4,0.8
94,1,2,0.6666666666666666
98,2,1,0.3333333333333333
102,1,2,0.6666666666666666
121,0,2,1.0
CORRELATION,0.6530129736779328
