totalDamageDealt,No,Yes,win_percentage
0,16,13,0.4482758620689655
1,2,5,0.7142857142857143
3,3,0,0.0
10,2,1,0.3333333333333333
11,2,2,0.5
13,4,1,0.2
14,2,1,0.3333333333333333
15,4,1,0.2
16,4,5,0.5555555555555556
17,7,2,0.2222222222222222
18,7,3,0.3
19,8,6,0.42857142857142855
20,12,6,0.3333333333333333
21,5,2,0.2857142857142857
22,13,2,0.13333333333333333
23,11,4,0.26666666666666666
24,4,7,0.6363636363636364
25,17,7,0.2916666666666667
26,7,5,0.4166666666666667
27,6,16,0.7272727272727273
28,14,6,0.3
29,10,7,0.4117647058823529
30,10,11,0.5238095238095238
31,10,7,0.4117647058823529
32,21,6,0.2222222222222222
33,11,6,0.35294117647058826
34,12,6,0.3333333333333333
35,11,8,0.42105263157894735
36,16,3,0.15789473684210525
37,9,7,0.4375
38,17,4,0.19047619047619047
39,7,5,0.4166666666666667
40,18,6,0.25
41,19,9,0.32142857142857145
42,17,6,0.2608695652173913
43,20,9,0.3103448275862069
44,19,9,0.32142857142857145
45,18,13,0.41935483870967744
46,16,15,0.4838709677419355
47,18,12,0.4
48,14,10,0.4166666666666667
49,12,24,0.6666666666666666
50,17,7,0.2916666666666667
51,20,13,0.3939393939393939
52,20,12,0.375
53,17,19,0.5277777777777778
54,19,16,0.45714285714285713
55,16,12,0.42857142857142855
56,14,19,0.5757575757575758
57,17,21,0.5526315789473685
58,19,15,0.4411764705882353
59,17,15,0.46875
60,15,20,0.5714285714285714
61,15,21,0.5833333333333334
62,19,11,0.36666666666666664
63,11,19,0.6333333333333333
64,12,15,0.5555555555555556
65,8,15,0.6521739130434783
66,9,17,0.6538461538461539
67,14,23,0.6216216216216216
68,16,17,0.5151515151515151
69,10,18,0.6428571428571429
70,11,21,0.65625
71,19,19,0.5
72,14,13,0.48148148148148145
73,12,20,0.625
74,8,16,0.6666666666666666
75,12,19,0.6129032258064516
76,9,16,0.64
77,5,14,0.7368421052631579
78,10,7,0.4117647058823529
79,5,18,0.782608695652174
80,8,8,0.5
81,5,13,0.7222222222222222
82,9,12,0.5714285714285714
83,8,8,0.5
84,5,10,0.6666666666666666
85,4,16,0.8
86,10,8,0.4444444444444444
87,7,8,0.5333333333333333
88,4,12,0.75
89,6,7,0.5384615384615384
90,5,8,0.6153846153846154
91,2,7,0.7777777777777778
92,3,9,0.75
93,2,8,0.8
94,3,7,0.7
95,4,8,0.6666666666666666
96,4,10,0.7142857142857143
97,3,2,0.4
98,3,6,0.6666666666666666
99,4,6,0.6
100,2,12,0.8571428571428571
101,5,2,0.2857142857142857
102,2,1,0.3333333333333333
103,1,6,0.8571428571428571
104,4,4,0.5
105,4,6,0.6
106,1,3,0.75
107,2,1,0.3333333333333333
108,2,3,0.6
110,3,3,0.5
112,4,0,0.0
114,1,2,0.6666666666666666
115,1,2,0.6666666666666666
116,1,2,0.6666666666666666
117,0,4,1.0
118,2,3,0.6
120,1,2,0.6666666666666666
124,0,2,1.0
127,2,2,0.5
144,0,2,1.0
CORRELATION,0.584832277620639
