,match
0,EUN1_3313879919
1,EUN1_3313832948
2,EUN1_3313614731
3,EUN1_3313097831
4,EUN1_3313079952
5,EUN1_3313045470
6,EUN1_3313010951
7,EUN1_3312974174
8,EUN1_3312933270
9,EUN1_3312920526
10,EUN1_3312913378
11,EUN1_3312193747
12,EUN1_3312168812
13,EUN1_3312156952
14,EUN1_3312145910
15,EUN1_3312137077
16,EUN1_3311551373
17,EUN1_3311523932
18,EUN1_3311515150
19,EUN1_3311498255
20,EUN1_3311479871
21,EUN1_3311469924
22,EUN1_3311462666
23,EUN1_3311458647
24,EUN1_3311455856
25,EUN1_3311436976
26,EUN1_3311035486
27,EUN1_3310998772
28,EUN1_3310969529
29,EUN1_3310946198
30,EUN1_3310909561
31,EUN1_3310878883
32,EUN1_3310868088
33,EUN1_3310856364
34,EUN1_3310801393
35,EUN1_3310252484
36,EUN1_3310228775
37,EUN1_3310200472
38,EUN1_3310188824
39,EUN1_3310177001
40,EUN1_3310169001
41,EUN1_3310165617
42,EUN1_3309386352
43,EUN1_3309381418
44,EUN1_3308797374
45,EUN1_3308768704
46,EUN1_3308747883
47,EUN1_3308641615
48,EUN1_3308623903
49,EUN1_3308612748
50,EUN1_3308600371
51,EUN1_3308597343
52,EUN1_3308589921
53,EUN1_3308584867
54,EUN1_3308580522
55,EUN1_3308558578
56,EUN1_3308537099
57,EUN1_3308510447
58,EUN1_3308005326
59,EUN1_3307986192
60,EUN1_3307956273
61,EUN1_3307945620
62,EUN1_3307928023
63,EUN1_3307927482
64,EUN1_3307922529
65,EUN1_3307916526
66,EUN1_3307895843
67,EUN1_3307879697
68,EUN1_3307868168
69,EUN1_3307811617
70,EUN1_3307770077
71,EUN1_3307252749
72,EUN1_3307242618
73,EUN1_3307230029
74,EUN1_3307203019
75,EUN1_3307175987
76,EUN1_3307139990
77,EUN1_3307097609
78,EUN1_3307071227
79,EUN1_3307037936
80,EUN1_3306969318
81,EUN1_3306941175
82,EUN1_3306904896
83,EUN1_3306855946
84,EUN1_3306827991
85,EUN1_3306787006
86,EUN1_3306611424
87,EUN1_3306603997
88,EUN1_3306593904
89,EUN1_3306587716
90,EUN1_3306577768
91,EUN1_3306572403
92,EUN1_3306540959
93,EUN1_3306514593
94,EUN1_3306476631
95,EUN1_3306290028
96,EUN1_3306253119
97,EUN1_3306204730
98,EUN1_3305946804
99,EUN1_3308713569
100,EUN1_3308691114
101,EUN1_3308461583
102,EUN1_3308424424
103,EUN1_3308079568
104,EUN1_3308060242
105,EUN1_3308033910
106,EUN1_3308019131
107,EUN1_3308001408
108,EUN1_3307746785
109,EUN1_3307644176
110,EUN1_3307587431
111,EUN1_3307393230
112,EUN1_3307344172
113,EUN1_3307213409
114,EUN1_3307187843
115,EUN1_3307160094
116,EUN1_3307139256
117,EUN1_3306817141
118,EUN1_3306749886
119,EUN1_3306699838
120,EUN1_3306494789
121,EUN1_3306471202
122,EUN1_3306428999
123,EUN1_3306396921
124,EUN1_3306346143
125,EUN1_3306084110
126,EUN1_3306037299
127,EUN1_3306019488
128,EUN1_3305921171
129,EUN1_3305912468
130,EUN1_3305876983
131,EUN1_3305847751
132,EUN1_3305772368
133,EUN1_3305747211
134,EUN1_3305708220
135,EUN1_3305678040
136,EUN1_3305635073
137,EUN1_3305595012
138,EUN1_3305499809
139,EUN1_3305480714
140,EUN1_3305252625
141,EUN1_3305227246
142,EUN1_3304717452
143,EUN1_3304685492
144,EUN1_3304643031
145,EUN1_3304618018
